matnr;bwkey;bwtar;stprs;peinh;bklas
000000000003000378;E110;;174958.48;1000;7900
000000000003000379;E110;;2784597.07;1000;7900
000000000003000380;E110;;1046680.59;1000;7900
000000000003000381;E110;;3379401.65;1000;7900
000000000003000382;E110;;4008848.63;1000;7900
000000000003000383;E110;;50946858.83;1000;7900
000000000003000384;E110;;59201755.29;1000;7900
000000000003000385;E110;;2784597.07;1000;7900
000000000003000386;E110;;1007476.31;1000;7900
000000000003000387;E110;;2882165.99;1000;7900
000000000003000388;E110;;3518596.18;1000;7900
000000000003000389;E110;;47802097.73;1000;7900
000000000003000390;E110;;55794931.8;1000;7900
000000000003000391;E110;;27027332.64;1000;7900
000000000003000392;E110;;750021.26;1000;7900
000000000003000393;E110;;619401.96;1000;7900
000000000003000999;E110;;17737.49;1000;7900
000000000004000001;E110;;156136714.98;1000;3000
000000000004000003;E110;;14994905.26;1000;3000
000000000004000004;E110;;22000.06;1000;3000
000000000004000006;E110;;714565.33;1000;3000
000000000004000007;E110;;11269.6;1000;3000
000000000004000008;E110;;549591.37;1000;3000
000000000004000009;E110;;220000;1000;3000
000000000004000010;E110;;56777.75;1000;3000
000000000004000012;E110;;8432538.15;1000;3000
000000000004000013;E110;;11377460;1000;3000
000000000004000014;E110;;3062432.7;1000;3000
000000000004000015;E110;;35857.48;1000;3000
000000000004000016;E110;;450327.91;1000;3000
000000000004000017;E110;;29904217.27;1000;3000
000000000004000018;E110;;1447379.81;1000;3000
000000000004000020;E110;;93000;1000;3000
000000000004000021;E110;;160000;1000;3000
000000000004000022;E110;;75541.74;1000;3000
000000000004000023;E110;;1354861.5;1000;3000
000000000004000024;E110;;149321;1000;3000
000000000004000028;E110;;111730.06;1000;3000
000000000004000029;E110;;2115704.43;1000;3000
000000000004000030;E110;;1004083.04;1000;3000
000000000004000031;E110;;771872.04;1000;3000
000000000004000032;E110;;906993.93;1000;3000
000000000004000034;E110;;33999.71;1000;3000
000000000004000036;E110;;278726.14;1000;3000
000000000004000037;E110;;7718496.06;1000;3000
000000000004000038;E110;;6398929.27;1000;3000
000000000004000039;E110;;9410231.21;1000;3000
000000000004000041;E110;;21368326.16;1000;3000
000000000004000043;E110;;14638.89;1000;3000
000000000004000044;E110;;137887.54;1000;3000
000000000004000045;E110;;491090;1000;3000
000000000004000047;E110;;40714961.56;1000;3000
000000000004000048;E110;;194781.27;1000;3000
000000000004000049;E110;;22016.47;1000;3000
000000000004000051;E110;;461292.71;1000;3000
000000000004000052;E110;;9692.66;1000;3000
000000000004000053;E110;;1858132;1000;3000
000000000004000054;E110;;560662.85;1000;3000
000000000004000055;E110;;980941;1000;3000
000000000004000056;E110;;18494.33;1000;3000
000000000004000057;E110;;18310.21;1000;3000
000000000004000058;E110;;30000;1000;3000
000000000004000059;E110;;59123080.31;1000;3000
000000000004000062;E110;;14954.58;1000;3000
000000000004000063;E110;;2226828.23;1000;3000
000000000004000064;E110;;4451144.16;1000;3000
000000000004000065;E110;;1408936.25;1000;3000
000000000004000066;E110;;36730000;1000;3000
